停車場型態,停車場代碼,停車場名稱,停車場地址,即時車位,大型車(一般),小型車(一般),小型車(身障),小型車(婦幼),小型車(綠能),機車(一般),機車(身障),收費時間,收費費率,經緯度
公有收費停車場,25,林默娘紀念公園停車場,臺南市安平區安億路林默娘公園旁,-1,0,185,4,0,4,227,0,08:00~22:00 ,20元/時 ,22.9928133，120.15703
公有收費停車場,26,港濱歷史公園停車場,臺南市安平區安億路與平豐路路口西北側,-1,0,52,1,0,3,0,0,08:00~22:00 ,20元/時 ,22.994969，120.163416
公有收費停車場,27,億載公園停車場,臺南市安平區永華路2段與光州路路口西南側,-1,0,101,3,0,3,102,0,08:00~22:00 ,20元/時 ,22.991168，120.159479
公有收費停車場,29,永康區停三立體停車場,臺南市永康區華興街77號,-1,0,279,5,5,0,0,0,24小時 ,20元/時 ,23.000707，120.237698
公有收費停車場,30,仁德區仁德立體停車場、市一地下停車場,臺南市仁德區正義一街41號,-1,0,283,6,5,0,74,0,24小時 ,20元/時 ,22.972604，120.253466
公有收費停車場,31,新營區停六停車場,臺南市新營區新營火車站西南側,-1,0,5,1,1,1,189,0,24小時 ,小車20元/時 機車30元/次,23.306363，120.322730
公有收費停車場,32,新市國小地下停車場,臺南市新市區中興路1號B1,-1,0,154,3,3,1,0,0,24小時 ,20元/時 ,23.078349，120.295367
公有收費停車場,9033,環河街臨時停車場,臺南市中西區臺南市中西區環河街56號,-1,0,42,2,1,1,0,0,08:00-22:00,20/時,
公有收費停車場,9034,西門路育賢停車場,臺南市北區臺南市西門路4段341巷內,-1,0,29,1,1,1,0,0,8:00-22:00,20/時,
公有收費停車場,A00041,水景公園路外停車場,臺南市安平區安北路水景公園旁,0,19,134,4,0,0,0,0,08:00~22:00 ,20元/時 ,22.999175，120.157886
公有收費停車場,A00051,崇善路龍山停車場,臺南市東區崇善路51號,123,0,144,4,3,7,23,1,24小時,20元/時,22.982593，120.221534
公有收費停車場,A00061,東光路地下停車場,臺南市東區東光路1段76號,164,0,231,6,6,9,0,0,24小時 ,20元/時 ,22.992491，120.231296
公有收費停車場,A00071,文化中心廣2停車場,臺南市東區中華東路3段336巷東側,-1,0,0,0,0,0,384,5,08:00~22:00 ,20元/時 ,22.974745，120.221015
公有收費停車場,A00081,文化中心廣場停車場,臺南市東區崇明路與崇明10街路口南側,-1,0,49,2,2,2,0,0,08:00~22:00 ,20元/時 ,22.975635，120.221203
公有收費停車場,A00091,海安公6停車場,臺南市北區台南市中西區海安路與公園南路口,43,0,182,5,4,4,0,0,24時,20元/時,23.002824，120.200547
