單位,郵遞區號,地址,電話,WGS84-X坐標,WGS84-Y坐標
後鎮派出所,73045,臺南市新營區埤寮里建國路110號,06-6328752,120.31273290000001,23.3304976
華雅派出所,73744,臺南市鹽水區歡雅里歡雅25號,06-6552307,120.24193880000007,23.2925079
竹埔派出所,73744,臺南市鹽水區竹埔里1號,06-6551960,120.24771780000003,23.2725946
太宮派出所,73045,臺南市新營區太南里太子宮201號,06-6524753,120.27746769999999,23.2935612
重溪派出所,73663,臺南市柳營區篤農里229號,06-6231664,120.36707909999996,23.290179
果毅派出所,73663,臺南市柳營區神農里296號,06-6231514,120.3684432,23.2569474
白河分局,73256,臺南市白河區白河里中山路128號,06-6852006,120.41653380000002,23.3508473
白河派出所,73256,臺南市白河區白河里中山路128號,06-6852018,120.41653380000002,23.3508473
後壁分駐所,73143,臺南市後壁區後壁里後壁4號,06-6872744,120.362047,23.365614
東山分駐所,73305,臺南市東山區東山里所前路219號,06-6800024,120.40361570000005,23.3259363
菁寮派出所,73146,臺南市後壁區菁寮里菁寮77號,06-6621401,120.33511840000006,23.3787299
長安派出所,73147,臺南市後壁區頂長里長短樹4號,06-6622664,120.3305762,23.3670284
安溪派出所,73149,臺南市後壁區長安里中寮59號,06-6361302,120.35786940000003,23.3321287
玉豐派出所,73253,臺南市白河區玉豐里海豐厝87號,06-6854887,120.416810,23.377847
竹門派出所,73254,臺南市白河區竹門里竹子門125號,06-6854324,120.44531559999996,23.3764837
內角派出所,73256,臺南市白河區內角里內角30號,06-6816374,120.43915850000008,23.3975142
河東派出所、仙草派出所,73257,臺南市白河區仙草里仙草7之1號,06-6854044,120.47331200000008,23.3454433
關嶺派出所,73255,臺南市白河區關嶺里關子嶺14號,06-6822629,120.50467470000001,23.3395816
東河派出所,73350,臺南市東山區東河里貝吉耍16號,06-6231630,120.38548760000003,23.294734
東原派出所,73352,臺南市東山區東原里前大埔9號,06-6861051,06-6861051,120.403447,23.325950
學甲分局,72645,臺南市學甲區慈福里華宗路294號,06-7832710,120.18289690000006,23.230066
學甲派出所,72645,臺南市學甲區慈福里華宗路294號,06-7833208,120.18289690000006,23.230066
將軍分駐所,72544,臺南市將軍區忠興里6號,06-7942182,120.1581701,23.1993864
北門分駐所,72742,臺南市北門區北門里舊埕22號,06-7862041,120.12450149999995,23.2657959
苓和派出所,72546,臺南市將軍區苓和里苓和100號,06-7942855,120.16436980000003,23.2190303
將富派出所,72545,臺南市將軍區將富里將富50號,06-7942664,120.13627369999995,23.215664
青鯤鯓派出所,72550,臺南市將軍區鯤鯓里鯤鯓95號,06-7920204,120.08828189999997,23.1897139
中浯派出所,72651,臺南市學甲區中洲里中洲287號,06-7833907,120.15641890000006,23.244678
文山派出所,72744,臺南市北門區中樞里溪底寮56號,06-7862324,120.12924750000002,23.2413684
蚵寮派出所,72742,臺南市北門區保吉里蚵寮62之9號,06-7860121,120.13434919999997,23.2831167
宅港派出所,72649,臺南市學甲區宅港里宅子港52號,06-7833904,120.20333400000004,23.2584632
頂洲派出所,72649,臺南市學甲區頂洲三慶里頂洲110之1號,06-7810040,120.20182279999995,23.2875614
佳里分局,72242,臺南市佳里區六安里忠孝路7號,06-7222012,120.17660550000005,23.1652782
佳里派出所,72242,臺南市佳里區六安里忠孝路7號,06-7224145,120.17660550000005,23.1652782
西港分駐所,72341,臺南市西港區西港里中山路337號,06-7952045,120.20300500000008,23.1226025
七股分駐所,72442,臺南市七股區玉城里玉城24號,06-7872154,120.13455240000008,23.135984
子龍派出所,72266,臺南市佳里區子龍里5鄰96號,06-7262290,120.2079804,23.1747998
後營派出所,72346,臺南市西港區後營里13鄰281號,06-7952644,120.21691110000006,23.1396398
塭內派出所,72269,臺南市佳里區龍安里8鄰84號,06-7891415,120.16453999999999,23.1240465
竹橋派出所,72452,臺南市七股區竹橋里11鄰125號,06-7891002,120.15973429999997,23.1013771
三股派出所,72453,臺南市七股區三股里7鄰72號,06-7881404,120.12007349999999,23.1019578
中鹽派出所,72448,臺南市七股區中寮里23之65號,06-7800213,120.10686099999998,23.1532534
延平派出所,72270,臺南市佳里區頂廓里10鄰118號,06-7223094,120.14946359999999,23.1731087
佳興派出所,72263,臺南市佳里區興化里6鄰441號,06-7261404,120.18818299999998,23.1901795
後港派出所,72444,臺南市七股區大潭里2鄰28號,06-7941924,120.1327642,23.1879774
麻豆分局,72148,臺南市麻豆區中興里興國路6號,06-5722031,120.24779109999997,23.1828157
麻豆派出所,72148,臺南市麻豆區中興里興國路6號,06-5722104,120.24779109999997,23.1828157
下營分駐所,73546,臺南市下營區新興里中山路1段226號,06-6892032,120.26581209999995,23.2362769
官田分駐所,72041,臺南市官田區官田里中山路1段131號,06-5791800,120.3133507,23.1927576
茅港派出所,73543,臺南市下營區茅港里茅港尾298號,06-6892454,120.28181089999998,23.2170065
鳳林派出所,73444,臺南市六甲區中社里林鳳營154號,06-6982390,120.32011420000003,23.2419359
總爺派出所,72153,臺南市麻豆區南勢里南勢93號,06-5724310,120.26705379999999,23.1839362
安業派出所,72150,臺南市麻豆區安業里安業112號,06-5722804,120.24633719999997,23.1593307
埤頭派出所,72152,臺南市麻豆區小埤里埤頭5號,06-5701654,120.22770179999998,23.19147
拔林派出所,72044,臺南市官田區拔林里拔子林74號,06-6901362,120.3237097,23.171838
六甲分駐所,73443,臺南市六甲區水林里中山路210號,06-6982139,120.34700180000004,23.2319118
湖山派出所,72045,臺南市官田區嘉南里嘉南41號,06-6982533,120.36385840000003,23.2138299
王爺派出所,73445,臺南市六甲區王爺里王爺宮15號,06-6981834,120.39949079999997,23.2215132
大丘派出所,73445,臺南市六甲區大丘里大丘園5號,06-6981835,120.43691890000002,23.2193529
官鎮派出所,72047,臺南市官田區官田村官田383號,06-6901160,120.33953980000001,23.1879168
善化分局,74160,臺南市善化區興農路461號,06-5817434,120.26841289999993,23.1298884
善化派出所,74157,臺南市善化區東關里中山路353之1號,06-5817007,120.29287079999995,23.1316688
茄拔派出所,74173,臺南市善化區嘉南里茄拔350號,06-5837379,120.32224480000002,23.1368976
東昌派出所,74178,臺南市善化區東昌里東勢寮101號,06-5837305,120.3173673,23.1565104
溪美派出所,74163,臺南市善化區溪美里溪尾115號,06-5817981,120.2868909,23.1540857
蘇厝派出所,74543,臺南市安定區蘇林里蘇厝70號,06-5921514,120.25499179999997,23.1277551
安定分駐所,74545,臺南市安定區保西里安定443號,06-5922277,120.23617910000007,23.1211481
港口派出所,74561,臺南市安定區港南里港口1之13號,06-5932235,120.22870360000002,23.087846
海寮派出所,74551,臺南市安定區海寮里海寮126號,06-5931251,120.20963619999998,23.0968397
大內分駐所,74243,臺南市大內區石城里石仔瀨74號,06-5761039,120.35806389999993,23.1208799
二溪派出所,74251,臺南市大內區二溪里二重溪150號,06-5762017,120.39183350000008,23.1225718
頭社派出所,74252,臺南市大內區頭社里頭社60號,06-5761564,120.38680840000006,23.1428009
新市分駐所,74444,臺南市新市區新市里復興路2號,06-5993019,120.29562639999995,23.079542
潭頂派出所,74449,臺南市新市區潭頂里潭頂398號,06-5991934,120.32184410000002,23.0769751
玉井分局,71443,臺南市玉井區玉田村中山路2號,06-5742007,120.46299529999999,23.120319
玉井派出所,71443,臺南市玉井區玉田村中山路2號,06-5742479,120.45887340000002,23.1193654
望明派出所,71442,臺南市玉井區望明里75號,06-5742445,120.45590300000003,23.1061031
楠西分駐所,71542,臺南市楠西區楠西里中正路224號,06-5751252,120.48599330000002,23.1746703
鹿田派出所,71541,臺南市楠西區鹿田里鹿陶洋30號,06-5751183,120.48865090000004,23.1549563
南化分駐所,71642,臺南市南化區南化里170號,06-5771179,120.4772739,23.0422795
玉山派出所,71651,臺南市南化區玉山里54號,06-5772058,120.51967660000003,23.0749494
北寮派出所,71651,臺南市南化區北寮里110號,06-5772057,120.49171769999998,23.0786499
新化分局,71243,臺南市新化區護國里中山路91號,06-5902003,120.31548640000005,23.0441695
新化派出所,71243,臺南市新化區護國里中山路91號,06-5901022,120.31548640000005,23.0441695
左鎮分駐所,71341,臺南市左鎮區左鎮里122號,06-5731017,120.40497860000005,23.0554091
岡林派出所,71342,臺南市左鎮區岡林里岡林37號,06-5730032,120.41564440000002,23.0091562
山上分駐所,74341,臺南市山上區山上里山上35號,06-5781019,120.35801029999993,23.0983654
唪口派出所,71243,臺南市新化區中山路660巷50號,06-5982924,120.29799509999998,23.0380012
知義派出所,71248,臺南市新化區山腳里頂山腳182之1號 ,06-5902949,120.31464600000004,23.0214619
那拔派出所,71246,臺南市新化區那拔里那拔林75號,06-5911051,120.35106610000003,23.0682923
歸仁分局,71150,臺南市歸仁區六甲里中正南路1段1209號,06-2304964,120.27802159999999,22.9469707
歸仁派出所,71143,臺南市歸仁區歸仁里忠孝路160號,06-2304028,120.29980709999995,22.9699493
仁德分駐所,71742,臺南市仁德區仁德里中山路624號,06-2702664,120.25079519999997,22.971955
大潭派出所,71150,臺南市歸仁區大潭里長榮路1段295號,06-2781450,120.27221329999998,22.9099064
依仁派出所,71754,臺南市仁德區中洲里中洲12號,06-2661245,120.25268559999995,22.9082745
文賢派出所,71755,臺南市仁德區成功里二仁路2段600號,06-2661788,120.22093050000001,22.9433474
太廟派出所,71747,臺南市仁德區太子里太子路461號,06-2726472,120.26000449999992,22.9911608
德南派出所,71748,臺南市仁德區後壁里中正路2段271號,06-2791341,120.25141869999993,22.9505069
媽廟派出所,71141,臺南市歸仁區媽廟里中正北路3段100號,06-2309731,120.29395679999993,22.9936665
保東派出所,71841,臺南市關廟區埤頭里關新路1段836號,06-5955799,120.30842660000008,22.9960725
歸南派出所,71150,臺南市歸仁區六甲里中正南路1段1209號,06-2307887,120.27802159999999,22.9469707
關廟分駐所,71846,臺南市關廟區關廟里文衡路19號,06-5952013,120.32597559999999,22.9608887
龍崎分駐所,71942,臺南市龍崎區崎頂里新市子37號,06-5941010,120.35949589999996,22.9655219
龍船派出所,71942,臺南市龍崎區石糟里米市園1號,06-5941099,120.39221250000003,22.9482971
南雄派出所,71843,臺南市關廟區田中里田大路1號,06-5551907,120.35698980000006,22.9057678
永康分局,71071,臺南市永康區龍潭里龍埔街137號,06-2333324,120.2639183,23.0338436
龍潭派出所,71071,臺南市永康區龍潭里龍埔街137號,06-2327954,120.2639183,23.0338436
永康派出所,71071,臺南市永康區中山北路2號,06-2326081,120.25734650000004,23.025897
鹽行派出所,71072,臺南市永康區鹽行里中正北路65號,06-2531444,120.2395368,23.0417381
大灣派出所,71077,臺南市永康區東灣里民族路295號,06-2712274,120.26909699999999,23.0056022
復興派出所,71069,臺南市永康區成功里中華路34號,06-3115874,120.23527139999999,23.0009683
永信派出所,71068,臺南市永康區復華里國華街102巷110號,06-2014059,120.2485375,23.0156931
大橋派出所,71048,臺南市永康區大橋里大橋二街146號,06-2044835,120.22952759999998,23.0202046
